Package Name,App Name,App MD5,Size,App Market
com.qqx.dati,答题赚钱练,e4375b3fee19b7cc0dc6b46ee1dc18bf,29.6M,Xiaomi
com.qqx.kuai,打字赚钱快,53d5a6e241fc4e422dd54600403dadee,29.2M,Xiaomi
com.qqx.new_stepn,走步走路赚钱,4a027d41a8f071b7bc32470e4277db0e,30.3M,Xiaomi
com.qsmy.walkmonkey,步多多,28b4cb010475201af77e17d91ca1c8ad,57.7M,Xiaomi
com.ragou.cbsblh,充电赚钱挣,d2863046604a6e37226c6474366e8088,47.3M,Xiaomi
com.rqtech.fkkxx.mi,方块开心消,5ea90d457dc8c89ab37f7c40b73ffc3a,48.8M,Xiaomi
com.rqtech.jdppl.mi,经典拼拼乐,bc4477c7024a63e1f94a4f683431493d,51.7M,Xiaomi
com.rt.market.fresh,大润发优鲜,0397019e491fc2cc59536c4ff74a87d4,61.0M,Xiaomi
com.sakura.mzlite,米多赚钱,502e25f4396e84c1069553b78a9b024f,25.9M,Xiaomi
com.sankuai.meituan.takeoutnew,美团外卖,6c72a788c97b4628df99e68271ee8cdd,59.5M,Xiaomi
com.sankuai.youxuan,美团优选,3cca2a12436dad36dc41de4b70fc7d65,19.4M,Xiaomi
com.sdlm.svideo,快闪免费短剧,4e1277c44d30bfde73ba25e3bbcf1fdb,112.7M,Xiaomi
com.sevenVideo.app.android,七七影视大全,94b0d1247775a9f4ed8a158d419aa780,41.5M,Xiaomi
com.sfacg.comic,菠萝包漫画,04d554fed266dabe864227135ef20d5c,51.9M,Xiaomi
com.slkj.paotui.customer,UU跑腿,8f46c5eddbb2e49b12ba8443202912f9,92.3M,Xiaomi
com.ss.android.article.lite,头条搜索极速版,456ca97937635f503d4ee87a4c8dcb60,93.7M,Xiaomi
com.ss.android.ugc.aweme.lite,抖音极速版,877ce1f6fd2960156b95bbb0587d0e13,131.1M,Xiaomi
com.ss.android.ugc.live,抖音火山版,e12cde4116ca4d51409df12036aea928,244.7M,Xiaomi
com.taige.mygold,妙看极速版,b65f1c608400d0edf68636e491612b0f,45.1M,Xiaomi
com.taobao.litetao,淘宝特价版,019b2b336471a0817df89bb6e0da54a2,49.3M,Xiaomi
com.taobao.live,点淘,a43bd93ef2e05bd63ce59c105b964f9e,116.2M,Xiaomi
com.taobao.taobao,淘宝,7eb746cd8771ba07af74a3a4234a4652,57.7M,Xiaomi
com.tmall.wireless,手机天猫,1c55ae07b76411b2a6222fd6d9a53d7e,138.7M,Xiaomi
com.ucmobile.lite,UC浏览器极速版,9f04da9bbdee0fe370d5d0bc12f23244,108.4M,Xiaomi
com.viewstap.zhuandian,赚点,ad9ccd092429f870728e514a6ca7a2e7,33.2M,Xiaomi
com.waimaiii.waimaiii,歪麦霸王餐,20df82d2d30f4b5d725d37beb2ea9247,54.9M,Xiaomi
com.walkig.tmeter,走路赚钱通,307f6457678e7de617c30a5f85c7653b,49.5M,Xiaomi
com.weigu.youmi,U米兼职,4d9e3a0509a72c92831072dc87581b4f,32.2M,Xiaomi
com.wifi.reader,连尚读书,becdf91ed3185aaa3422983432fd7cb7,79.7M,Xiaomi
com.wifi.reader.free,连尚免费读书,2484c844d47260f4037493bea435e63c,79.7M,Xiaomi
com.ximalaya.ting.lite,Ximalaya Lite,92eb531209d63849fe542d005011863e,52.7M,Xiaomi
com.xs.fm,番茄畅听,78b0b7e45293cbd17d1921787c9ccac6,63.4M,Xiaomi
com.xs.fm.lite,番茄畅听音乐版,5d4200f5d91a0f4f3cf105c3bb362d2c,66.4M,Xiaomi
com.xunmeng.pinduoduo,拼多多,5fe9ac42e5865257aaad942cad2c06c6,25.5M,Xiaomi
com.yaya.zone,叮咚买菜,b730f149e8bd1820a7975ea0926be194,67.1M,Xiaomi
com.yichen.moneylite,赚钱帮手,9839bef206be1fb3e94356684a1cc99c,26.9M,Xiaomi
com.yycl.tzvideo,红包视频,e4d908777a21a64678b68acc4f79c008,49.3M,Xiaomi
com.zdwh.wwdz,玩物得志,edd5b316c15c379db42c370db5ba494f,62.5M,Xiaomi
com.zebra.assp.cn,爱尚视频,bcf6cb81deb1287ef93ea10cf91fa21c,40.8M,Xiaomi
com.zebra.jdsp.cn,极豆视频,b5fee58b801c98ed3437c062c346ea7f,39.5M,Xiaomi
com.zhangyue.app.shortvideo,袋鼠点点短视频,dbadb850a25ec33965b453630e9de033,78.2M,Xiaomi
com.zyjh.dxjz,大象兼职,b56eff33e474bc3aa5cad2c1a9db3b3b,43.1M,Xiaomi
com.zyjh.ymjz,果果有钱-兼职赚钱,b55282ba78ed7bd2fec2177f9ab6e8fa,50.8M,Xiaomi
drama.dachuangnanningltd.home,免费短剧之家,2441dcb66beeb1a7dbab65325918e9aa,48.9M,Xiaomi
me.ele,ele.me,ff8650f29f38bc5e352a70401ac2ba57,63.6M,Xiaomi
sogou.mobile.explorer,搜狗浏览器极速版,922d603d625720264be9a4a7fb9d90eb,117.2M,Xiaomi
com.alibaba.aliexpresshd,AliExpress,fd929975991441b185ddb821145527e1,136.9M,Google Play
com.baidu.searchbox,百度,c74ee002b83dfd593aceeff50e9b3b3a,129.6M,Google Play
com.banggood.client,Banggood,47e5266435a4b3fa20d951907918f108,32.1M,Google Play
com.bintiger.mall.android,拜托拜托,d710b5fe873eccad513742f5f7c90e5a,95.2M,Google Play
com.eg.android.AlipayGphone,支付宝,19dd1cffb3c7472161bdf1f4067d452c,97.0M,Google Play
com.gimmatek.hahago.aha,HAHAGO,5b5cd735bc56f9adbf767d9d157846c1,143.3M,Google Play
com.goreadnovel,绿柠小说大全,fc33b9f555593d631a74b760e3149b5a,18.6M,Google Play
com.happy.happywalk,Make Money,4d23e6bcf2a0bf7ad5bf199786f992b2,32.1M,Google Play
com.ifeng.news2gp2,凤凰新闻海外版,2c0bb0298bd9c44b6417b080d07f2332,111.4M,Google Play
com.jingdong.app.mall,京东,74c564b14a2413b16e5ad6661afa0825,90.8M,Google Play
com.suiyuexiaoshuo,随阅小说大全,3896024620e92dcbe83d65685d5e1fd4,20.0M,Google Play
com.taobao.htao.android,淘宝Lite,17902f87325f118334b1094053cadf10,70.0M,Google Play
com.taobao.taobao,淘宝,ccd3fb6c917f9228f8906832e22f62e6,151.0M,Google Play
com.xvideostudio.videoeditor,乐秀视频编辑器,c286c36ded78804a149e54e369fa731b,51.8M,Google Play
com.zhangyue.read,iReader,4129c02d57b24161929975491430f628,39.6M,Google Play
dmw.xsdq.app,小说大全,8533eb3c1e72955304dd992c92da533f,15.9M,Google Play
